timestamp;tmoy;Level_silo1;Level_silo2;Level_silo3
2022-09-30T23:26:12.199706;11.3;0,6700;0,78;0,56
2022-09-30T22:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T21:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T20:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T19:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T18:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T17:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T16:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T15:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T14:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T13:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T12:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T11:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T10:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T09:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T08:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T07:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T06:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T05:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T04:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T03:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T02:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T01:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-30T00:26:12.199706;11.3;0,6294;0,7625;0,5145
2022-09-29T23:26:12.199706;12.58;0,6294;0,7625;0,5145
2022-09-29T22:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T21:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T20:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T19:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T18:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T17:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T16:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T15:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T14:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T13:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T12:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T11:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T10:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T09:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T08:26:12.199706;12.58;0,5897;0,7382;0,5030
2022-09-29T07:26:12.199706;12.58;0,5897;0,7382;0,5030
